name,AB_IG,HT_IG,Ibk_IG,J48_IG,Jrip_IG,Log_IG,MLP_IG,NB_IG,REP_IG,RF_IG,SGD_IG,SVM_IG
chscase_geyser1.arff,0.9274724,0.7554487,0.7996833,0.8565781,0.8651251,0.924504,0.9301664,0.9201389,0.8582875,0.8686965,0.8853632,0.8686965
chscase_health.arff,0.6333334,0.7666666,0.6583333,0.6333333,0.5083332,0.8,0.7833332,0.7666666,0.5,0.6333333,0.6749999,0.6333333
chscase_vine1.arff,0.9,0.7944446,0.7749999,0.8333333,0.7666665,0.8611111,0.8833334,0.7944446,0.75,0.8416665,0.7916665,0.8416665
chscase_vine2.arff,0.8260916,0.7990629,0.9002802,0.9091971,0.8566743,0.5030071,0.5019992,0.7996284,0.9068468,0.5208791,0.5,0.5208791
chscase_whale.arff,1,0.9867423,0.9867423,1,0.9954545,1,1,0.9901515,0.9867423,0.9867423,1,0.9867423
cleveland.arff,0.8976447,0.9008101,0.7537997,0.7813793,0.7789987,0.8963053,0.8837406,0.9038744,0.8057701,0.8272603,0.819251,0.8272603
cmc.arff,0.7301953,0.6913458,0.5991527,0.7016214,0.6969785,0.7058407,0.6914807,0.6969241,0.7230657,0.6371197,0.6458115,0.6371197
colic.arff,0.8695492,0.8322942,0.7965033,0.8492942,0.8307882,0.8400762,0.8774108,0.8498647,0.8608327,0.8105102,0.7813894,0.8105102
colleges_aaup.arff,0.9982662,0.9872587,0.8759437,0.9868077,0.9777023,0.970481,0.957926,0.9899086,0.5,0.9508246,0.9622533,0.9508246
colleges_usnews.arff,0.789473,0.7779364,0.6052793,0.7091521,0.712197,0.6804041,0.8008234,0.8048234,0.5007831,0.7294268,0.7172832,0.7294268
collins.arff,1,1,1,0.9925595,1,1,1,0.9806547,1,1,1,1
cpu.arff,0.99875,0.9904167,0.9109445,0.9652083,0.9227084,0.9728056,0.9988889,0.9918056,0.9072917,0.92375,0.9720833,0.92375
cpu_act.arff,0.9387504,0.8626148,0.8906711,0.9154988,0.9178728,0.9799116,0.9688174,0.9565752,0.954552,0.8990172,0.9129342,0.8990172
cpu_small.arff,0.9328224,0.8465472,0.8756024,0.9128934,0.8928379,0.9678857,0.9608542,0.9491357,0.9375774,0.8765639,0.8848115,0.8765639
credit-a.arff,0.9319922,0.8620073,0.8082557,0.893571,0.8684371,0.9051674,0.9062415,0.8959178,0.881044,0.8565345,0.8591661,0.8565345
credit-g.arff,0.7247381,0.7859999,0.66,0.6429286,0.6174762,0.7864047,0.7587143,0.7877143,0.7134763,0.6723809,0.6907143,0.6723809
cylinder-bands.arff,0.8000939,0.5376748,0.7219769,0.5,0.675609,0.8539612,0.6732525,0.8138937,0.5588194,0.803179,0.8096503,0.803179
datatrieve.arff,0.7219698,0.5,0.5583332,0.475,0.5662878,0.8204546,0.825,0.99,0.4833333,0.5,0.5,0.5
delta_ailerons.arff,0.9637451,0.9400539,0.913614,0.9486964,0.947905,0.9719138,0.9700495,0.7727272,0.9608521,0.9389888,0.9377988,0.9389888
delta_elevators.arff,0.934898,0.9068116,0.82836,0.904599,0.8942482,0.9425255,0.9422754,0.9656838,0.9253597,0.8805617,0.8801121,0.8805617
diabetes.arff,0.804671,0.8170598,0.6614586,0.7491454,0.7065285,0.8344958,0.8315299,0.934749,0.7553376,0.718943,0.7290541,0.718943
diabetes_numeric.arff,0.6875,0.7083334,0.4833332,0.5208333,0.6583333,0.6499999,0.7750001,0.8206495,0.5833333,0.5166666,0.5416666,0.5166666
diggle_table_a1.arff,0.7250001,0.7666668,0.6833333,0.5375,0.55,0.75,0.7416667,0.7083334,0.5458334,0.7083333,0.6583333,0.7083333
diggle_table_a2.arff,1,0.9657073,0.9845098,0.9966667,0.9966667,0.9941316,0.9991667,0.7666668,0.9970588,0.9141947,0.9758946,0.9141947
disclosure_x_bias.arff,0.5076472,0.541262,0.5000151,0.4910846,0.5394544,0.5762299,0.5870529,0.9661239,0.5119034,0.5526184,0.5704676,0.5526184
disclosure_x_noise.arff,0.5281684,0.5423633,0.5075422,0.5015598,0.5059319,0.5556477,0.5478168,0.5696693,0.4899874,0.5581915,0.5523564,0.5581915
disclosure_x_tampered.arff,0.5279519,0.5161496,0.5062917,0.4939394,0.554944,0.5521332,0.5479574,0.5486401,0.4749444,0.5422739,0.5519608,0.5422739
disclosure_z.arff,0.5011357,0.5730187,0.5356854,0.5,0.5360712,0.5764394,0.5834876,0.5476179,0.5319343,0.5441169,0.5632189,0.5441169
