name,AB_CBF,HT_CBF,Ibk_CBF,J48_CBF,Jrip_CBF,Log_CBF,MLP_CBF,NB_CBF,REP_CBF,RF_CBF,SGD_CBF,SVM_CBF
AP_Breast_Prostate.arff,0.9852942,0.9797898,0.9785714,0.982815,0.9842436,0.9963026,0.92512,0.982647,0.9784452,0.9987395,0.9857143,0.9828572
AP_Colon_Kidney.arff,0.9976435,0.970898,0.977932,0.9555324,0.9643898,0.9810345,0.7857498,0.9674497,0.9592413,0.9974469,0.9783914,0.9834264
AP_Colon_Omentum.arff,0.9752771,0.9266934,0.886207,0.8243458,0.8914101,0.8639162,0.6451815,0.9266934,0.8882236,0.9772706,0.9004927,0.9100679
AP_Colon_Ovary.arff,0.977505,0.9260346,0.9030335,0.9048763,0.9379054,0.9203508,0.6915768,0.9285346,0.9285607,0.9766616,0.9292489,0.9218513
AP_Colon_Prostate.arff,0.9979944,0.980542,0.9632183,0.9703613,0.9636904,0.9685081,0.753721,0.9823277,0.9507184,0.9984225,0.977032,0.9698275
AP_Endometrium_Breast.arff,0.9894118,0.9488655,0.9421709,0.9120027,0.9119678,0.9907702,0.7967366,0.950294,0.8924929,0.9914356,0.9593978,0.962297
AP_Endometrium_Lung.arff,0.979136,0.9613553,0.9729851,0.8593253,0.9519232,0.9724128,0.7982448,0.9684981,0.8884158,0.9865766,0.9450092,0.9488554
AP_Endometrium_Prostate.arff,0.9928571,0.9928571,0.9916667,0.9845238,0.9761905,1,0.7071429,0.9928571,0.9857142,1,0.9928571,1
AP_Lung_Uterus.arff,0.9753207,0.9435896,0.9073717,0.9035256,0.9173077,0.8980769,0.7971155,0.9439102,0.9413459,0.9852563,0.9157052,0.9233974
AP_Omentum_Kidney.arff,0.9935439,0.9826922,0.9644916,0.9305973,0.9420673,0.9786057,0.6249314,0.9807691,0.939423,0.9956043,0.9707416,0.9759614
AP_Omentum_Lung.arff,0.9679488,0.9265566,0.8986033,0.8492787,0.899874,0.9402129,0.7355656,0.9239925,0.8791208,0.9849588,0.9063642,0.9173532
AP_Omentum_Ovary.arff,0.8639498,0.7066965,0.6862876,0.6643186,0.7125588,0.6796452,0.626875,0.7079111,0.7057707,0.8303077,0.6709116,0.6810431
AP_Omentum_Uterus.arff,0.9367503,0.8870877,0.8296016,0.8091002,0.8141253,0.9113552,0.7945055,0.8832702,0.8250344,0.9684008,0.9128662,0.9090199
AP_Ovary_Uterus.arff,0.9373954,0.8413259,0.7754115,0.791245,0.7919882,0.8896532,0.701626,0.843232,0.8321956,0.9565781,0.877807,0.880759
AP_Prostate_Kidney.arff,0.9989011,0.9647434,0.9735347,0.9768314,0.9768315,0.9918498,0.7575091,0.9685896,0.9806777,0.9988095,0.9768314,0.9878205
AP_Prostate_Uterus.arff,0.9928571,0.9890109,0.9958333,0.970238,0.981868,0.9581501,0.9348901,0.9890109,0.9890109,1,0.9768314,0.9747252
AP_Uterus_Kidney.arff,0.9952662,0.9705127,0.9621795,0.9638067,0.9395339,0.9804364,0.8260355,0.9705127,0.9509367,0.9947485,0.9903845,0.9785256
ar1.arff,0.6276515,0.45,0.6750001,0.5863636,0.4818182,0.456818,0.609091,0.6,0.45,0.7280305,0.4454545,0.4454545
ar4.arff,0.867361,0.6472222,0.6027776,0.6645834,0.6805555,0.6756945,0.8166666,0.8,0.5638889,0.80625,0.6576388,0.6388888
ar5.arff,0.6666666,0.6166667,0.5666666,0.6333333,0.65,0.6,0.7333334,0.7333334,0.5,0.7,0.6666666,0.6166666
ar6.arff,0.5538195,0.4996528,0.6545139,0.5114583,0.4652777,0.7152779,0.7388888,0.6638889,0.5444444,0.6513889,0.675,0.575
